AAL,American Airlines Group
MGY,Magnolia Oil & Gas Corporation Class A Common Stock
MIC,Macquarie Infrastructure Holdings
MIR,Mirion Technologies
MJ,ETFMG Alternative Harvest ETF
MKFG,Markforged Holding Corporation Common Stock
MNR,Monmouth Real Estate Investment Corporation Class A Common Stock
MPLN,MultiPlan Corporation Class A Common Stock
MPW,Medical Properties Trust
MRO,Marathon Oil Corporation Common Stock
MSOS,AdvisorShares Trust AdvisorShares Pure US Cannabis ETF
MTG,MGIC Investment Corporation Common Stock
MUFG,Mitsubishi UFJ Financial Group
MWA,MUELLER WATER PRODUCTS Common Stock
MX,Magnachip Semiconductor Corporation Common Stock
MYOV,Myovant Sciences Ltd. Common Shares
NAD,Nuveen Quality Municipal Income Fund Common Stock
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares
NEX,NexTier Oilfield Solutions Inc. Common Stock
NFH,New Frontier Health Corporation Ordinary Shares
NG,Novagold Resources Inc.
NIO,NIO Inc. American depositary shares
NLS,Nautilus
NLSN,Nielsen N.V. Ordinary Shares
NLY,Annaly Capital Management Inc Common Stock
NMR,Nomura Holdings Inc ADR American Depositary Shares
NOG,Northern Oil and Gas
NOK,Nokia Corporation Sponsored American Depositary Shares
NOV,NOV Inc. Common Stock
NOVA,Sunnova Energy International Inc. Common Stock
NRGD,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETN
NRZ,New Residential Investment Corp. Common Stock
NTCO,Natura &Co Holding S.A. American Depositary Shares 
NU,Nu Holdings Ltd. Class A Ordinary Shares
NUV,Nuveen Municipal Value Fund
NVTA,Invitae Corporation Common Stock
NWG,NatWest Group plc American Depositary Shares
NXE,Nexgen Energy Ltd. Common Shares
NYCB,New York Community Bancorp
OCA,Omnichannel Acquisition Corp. Class A Common Stock
OI,O-I Glass
OIS,Oil States International
OLO,Olo Inc. Class A Common Stock
ONE,OneSmart International Education Group Limited ADS
OPAD,Offerpad Solutions Inc. Class A Common Stock
ORAN,Orange
ORC,Orchid Island Capital
ORCC,Owl Rock Capital Corporation Common Stock
ORI,Old Republic International Corporation Common Stock
OSCR,Oscar Health
OSH,Oak Street Health
OUST,Ouster
OUT,OUTFRONT Media Inc. Common Stock
OWL,Blue Owl Capital Inc. Class A Common Stock
PAGS,PagSeguro Digital Ltd. Class A Common Shares
PARR,Par Pacific Holdings
PBF,PBF Energy Inc. Class A Common Stock
PBI,Pitney Bowes Inc. Common Stock
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock
PBR.A,Petroleo Brasileiro S.A.- Petrobras American Depositary Shares
PCEF,Invesco CEF Income Composite ETF
PCG,Pacific Gas & Electric Co. Common Stock
PDI,PIMCO Dynamic Income Fund Common Stock
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest
PFFD,Global X U.S. Preferred ETF
PGRE,Paramount Group
PGX,Invesco Preferred ETF
PHB,Invesco Fundamental High Yield Corporate Bond ETF
PHK,Pimco High Income Fund Pimco High Income Fund
PHYS,Sprott Physical Gold Trust ETV
PING,Ping Identity Holding Corp. Common Stock
PIPP.U,Pine Island Acquisition Corp. Units
PK,Park Hotels & Resorts Inc. Common Stock 
PL,Planet Labs PBC Class A Common Stock
PLTR,Palantir Technologies Inc. Class A Common Stock
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest
PRTY,Party City Holdco Inc. Common Stock
PSFE,Paysafe Limited Common Shares
PSLV,Sprott Physical Silver Trust ETV
PSP,Invesco Global Listed Private Equity ETF
PSPC.U,Post Holdings Partnering Corporation Units
PSQ,ProShares Short QQQ
PSTH,Pershing Square Tontine Holdings
PTY,Pimco Corporate & Income Opportunity Fund
PUMP,ProPetro Holding Corp. Common Stock
PXH,Invesco FTSE RAFI Emerging Markets ETF
QID,ProShares UltraShort QQQ
QS,QuantumScape Corporation Class A Common Stock
QUOT,Quotient Technology Inc. Common Stock
RA,Brookfield Real Assets Income Fund Inc. Common Stock
RAD,Rite Aid Corporation Common Stock
RBAC,RedBall Acquisition Corp. Class A Ordinary Shares
RC,Ready Capital Corproation Common Stock
RDN,Radian Group Inc. Common Stock
RES,RPC
RF,Regions Financial Corporation Common Stock
RIG,Transocean Ltd (Switzerland) Common Stock
RKT,Rocket Companies
RLGY,Realogy Holdings Corp. Common Stock
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value
RLX,RLX Technology Inc. American Depositary Shares
RQI,Cohen & Steers Quality Income Realty Fund Inc Common Shares
RRC,Range Resources Corporation Common Stock
RRD,R.R. Donnelley & Sons Company Common Stock
RSI,Rush Street Interactive
RSKD,Riskified Ltd. Class A Ordinary Shares
RSX,VanEck Russia ETF
RWM,ProShares Short Russell2000
RWT,Redwood Trust
RYLD,Global X Russell 2000 Covered Call ETF
SAN,Banco Santander
SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada)
SAVE,Spirit Airlines
SB,Safe Bulkers
SBEV,Splash Beverage Group
SBH,Sally Beauty Holdings
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares)
SBSW,D/B/A Sibanye-Stillwater Limited ADS
SCO,ProShares UltraShort Bloomberg Crude Oil
SCS,Steelcase Inc. Common Stock
SEAH,Sports Entertainment Acquisition Corp. Class A Common Stock
SEM,Select Medical Holdings Corporation Common Stock
SFL,SFL Corporation Ltd
SGFY,Signify Health
SGOL,Aberdeen Standard Physical Gold Shares ETF
SH,ProShares Short S&P500
SHLX,Shell Midstream Partners
SHO,Sunstone Hotel Investors
SID,Companhia Siderurgica Nacional S.A. Common Stock
SILJ,ETFMG Prime Junior Silver Miners ETF
SILV,SilverCrest Metals Inc. Common Shares
SITC,SITE Centers Corp. Common Stock
SJI,South Jersey Industries
SJT,San Juan Basin Royalty Trust Common Stock
SKLZ,Skillz Inc. Class A Common Stock
SKT,Tanger Factory Outlet Centers
SLCA,U.S. Silica Holdings
SLI,Standard Lithium Ltd. Common Shares
SLQT,SelectQuote
SLV,iShares Silver Trust
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)
SMRT,SmartRent
SOL,Renesola Ltd. American Depsitary Shares (Each representing 10 shares)
SOXS,Direxion Daily Semiconductor Bear 3x Shares
SPCE,Virgin Galactic Holdings
SPDN,Direxion Daily S&P 500 Bear 1X Shares
SPMB,SPDR Portfolio Mortgage Backed Bond ETF
SPXS,Direxion Daily S&P 500 Bear 3X
SPXU,ProShares UltraPro Short S&P500
STAR,iStar Inc. Common Stock
STEM,Stem
STLA,Stellantis N.V. Common Shares
STNG,Scorpio Tankers Inc. Common Shares
STWD,STARWOOD PROPERTY TRUST
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share)
SVM,Silvercorp Metals Inc. Common Shares
SWN,Southwestern Energy Company Common Stock
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock)
TAL,TAL Education Group American Depositary Shares
TALO,Talos Energy
TBF,ProShares Short 20+ Year Treasury
TBT,ProShares UltraShort Lehman 20  Year Treasury
TDS,Telephone and Data Systems
TEF,Telefonica SA Common Stock
TEN,Tenneco Inc. Class A Voting Common Stock
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares
TGNA,TEGNA Inc
TIPX,SPDR Bloomberg 1-10 Year TIPS ETF
TKC,Turkcell Iletisim Hizmetleri AS Common Stock
TME,Tencent Music Entertainment Group American Depositary Shares
TMF,Direxion Daily 20-Yr Treasury Bull 3x Shrs
TMST,TimkenSteel Corporation Common Shares
TOST,Toast
TROX,Tronox Holdings plc Ordinary Shares (UK)
TRQ,Turquoise Hill Resources Ltd. Ordinary Shares
TS,Tenaris S.A. American Depositary Shares
TU,Telus Corporation Ordinary Shares
TUYA,Tuya Inc. American Depositary Shares
TV,Grupo Televisa S.A. Common Stock
TWM,ProShares UltraShort Russell2000
TWO,Two Harbors Investment Corp
UA,Under Armour
UAA,Under Armour
UBS,UBS Group AG Registered Ordinary Shares
UMC,United Microelectronics Corporation (NEW) Common Stock
UNG,United States Natural Gas Fund LP
UP,Wheels Up Experience Inc. Class A Common Stock
URA,Global X Uranium ETF
USA,Liberty All-Star Equity Fund Common Stock
UUUU,Energy Fuels Inc Ordinary Shares (Canada)
UVXY,ProShares Trust Ultra VIX Short Term Futures ETF
UWMC,UWM Holdings Corporation Class A Common Stock
VALE,VALE S.A.  American Depositary Shares Each Representing one common share
VET,Vermilion Energy Inc. Common (Canada)
VIPS,Vipshop Holdings Limited American Depositary Shares
VIXY,ProShares Trust VIX Short-Term Futures ETF
VLD,Velo3D
VLTA,Volta
VRT,Vertiv Holdings
VSH,Vishay Intertechnology
VST,Vistra Corp. Common Stock
VTEX,VTEX Class A Common Shares
VVNT,Vivint Smart Home
VVR,Invesco Senior Income Trust Common Stock (DE)
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN
VZIO,VIZIO Holding Corp. Class A Common Stock
WBT,Welbilt
WE,WeWork Inc. Class A Common Stock
WIT,Wipro Limited Common Stock
WSR,Whitestone REIT Common Shares
WTI,W&T Offshore
WU,Western Union Company (The) Common Stock
X,United States Steel Corporation Common Stock
YANG,Direxion Daily FTSE China Bear 3x Shares
YEXT,Yext
YINN,Direxion Daily FTSE China Bull 3x Shares
YMM,Full Truck Alliance Co. Ltd. American Depositary Shares (each representing 20 Class A Ordinary Shares)
YOU,Clear Secure
YPF,YPF Sociedad Anonima Common Stock
ZEV,Lightning eMotors
ZH,Zhihu Inc. American Depositary Shares (every two of each representing one Class A ordinary share)
ZIP,ZipRecruiter
ZUO,Zuora
ZYME,Zymeworks Inc. Common Shares
